symbol,10DayAverageTradingVolume,13WeekPriceReturnDaily,26WeekPriceReturnDaily,3MonthAverageTradingVolume,52WeekHigh,52WeekHighDate,52WeekLow,52WeekLowDate,52WeekPriceReturnDaily,5DayPriceReturnDaily,assetTurnoverAnnual,assetTurnoverTTM,beta,bookValuePerShareAnnual,bookValuePerShareQuarterly,bookValueShareGrowth5Y,capitalSpendingGrowth5Y,cashFlowPerShareAnnual,cashFlowPerShareTTM,cashPerSharePerShareAnnual,cashPerSharePerShareQuarterly,currentDividendYieldTTM,currentEv/freeCashFlowAnnual,currentEv/freeCashFlowTTM,currentRatioAnnual,currentRatioQuarterly,dividendGrowthRate5Y,dividendPerShare5Y,dividendPerShareAnnual,dividendYield5Y,dividendYieldIndicatedAnnual,dividendsPerShareTTM,ebitdPerShareTTM,ebitdaCagr5Y,ebitdaInterimCagr5Y,epsBasicExclExtraItemsAnnual,epsBasicExclExtraItemsTTM,epsExclExtraItemsAnnual,epsExclExtraItemsTTM,epsGrowth3Y,epsGrowth5Y,epsGrowthQuarterlyYoy,epsGrowthTTMYoy,epsInclExtraItemsAnnual,epsInclExtraItemsTTM,epsNormalizedAnnual,focfCagr5Y,grossMargin5Y,grossMarginAnnual,grossMarginTTM,longTermDebt/equityAnnual,longTermDebt/equityQuarterly,marketCapitalization,monthToDatePriceReturnDaily,netIncomeEmployeeAnnual,netIncomeEmployeeTTM,netInterestCoverageAnnual,netInterestCoverageTTM,netMarginGrowth5Y,netProfitMargin5Y,netProfitMarginAnnual,netProfitMarginTTM,operatingMargin5Y,operatingMarginAnnual,operatingMarginTTM,payoutRatioAnnual,payoutRatioTTM,pbAnnual,pbQuarterly,pcfShareTTM,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraTTM,peInclExtraTTM,peNormalizedAnnual,pfcfShareAnnual,pfcfShareTTM,pretaxMargin5Y,pretaxMarginAnnual,pretaxMarginTTM,priceRelativeToS&P50013Week,priceRelativeToS&P50026Week,priceRelativeToS&P5004Week,priceRelativeToS&P500Ytd,psAnnual,psTTM,receivablesTurnoverAnnual,receivablesTurnoverTTM,revenueEmployeeAnnual,revenueEmployeeTTM,revenueGrowth3Y,revenueGrowth5Y,revenueGrowthQuarterlyYoy,revenueGrowthTTMYoy,revenuePerShareAnnual,revenuePerShareTTM,revenueShareGrowth5Y,roaRfy,roaa5Y,roae5Y,roaeTTM,roeRfy,roeTTM,roi5Y,roiAnnual,roiTTM,tangibleBookValuePerShareAnnual,tangibleBookValuePerShareQuarterly,totalDebt/totalEquityAnnual,totalDebt/totalEquityQuarterly,yearToDatePriceReturnDaily,update_date,quickRatioAnnual,ptbvAnnual,ptbvQuarterly,tbvCagr5Y,inventoryTurnoverAnnual,inventoryTurnoverTTM,cashFlowPerShareQuarterly,peAnnual,peTTM,quickRatioQuarterly,dividendPerShareTTM,ebitdPerShareAnnual,enterpriseValue,epsAnnual,epsTTM,pcfShareAnnual,roaTTM,capexCagr5Y,priceRelativeToS&P50052Week,roa5Y,roe5Y,3MonthADReturnStd
CHDN,0.27844,2.1425,12.5963,0.38391,150.45,2023-05-03,89.17,2022-09-23,22.4684,0.0837,0.2916,0.3684,0.9281582,7.373,9.4144,-11.86,,1.0695,8.89106,1.7353,2.3249,0.2741,176.2484,173.0045,0.5542,0.5436,-5.18,,0.3444,,0.27131784,0.357,13.6985,26.27,52.06,5.7065,11.5888,5.7065,11.5888,19.0,14.28,88.31,77.74,5.7065,11.5888,5.7065,-4.02,30.24,31.9,31.64,8.266,6.1782,9851.068,-4.2466,0.0628,0.079,5.6986,1.153,8.81,15.48,24.28,27.83,15.25,17.78,41.81,5.92,26.51,14.3394,13.6636,15.9531,17.8139,23.28344,17.8139,17.8139,22.4194,123.1384,33.4048,18.77,33.64,37.34,-8.2494,-4.6099,-5.4193,5.3514,5.4432,4.9128,29.2375,33.42,0.2585,0.2865,10.82,15.44,53.67,22.49,23.5039,26.315,5.03,7.08,,,,79.67,89.51,12.05,8.49,12.4,0.4177,1.7072,8.3804,6.2805,24.4608,2023-07-28,0.5542,465.7867,54.5925,-32.87,,,1.0896,22.4194,17.8139,0.5436,0.4787,9.313,14099.868,5.7065,11.5888,18.3515,10.16,31.34,5.9369,9.44,56.88,37.504303
CHTR,1.65825,23.7853,1.232,1.10851,484.27,2022-08-16,297.66,2022-10-13,-15.7478,1.6529,0.3738,0.3781,1.5962274,59.7374,62.5468,-18.24,,36.3508,90.79569,4.2253,3.5464,,27.6855,33.2669,0.3329,0.3322,,,,,,,132.9845,7.6,6.49,30.7419,30.5127,30.7419,30.5127,60.42,-1.6,-3.54,11.14,30.7419,30.5127,30.7419,11.14,49.26,45.32,44.59,10.5377,10.1904,56188.605,7.37676,0.0497,0.0479,2.4352,2.5706,-17.03,6.31,9.36,7.48,17.11,22.14,21.43,,,5.7888,6.4215,3.8483,11.5306,12.83168,11.5306,11.5306,11.1155,10.1259,12.1673,8.86,13.81,11.4,12.3565,-13.0678,7.2807,-0.0684,1.0401,1.0315,19.6444,20.2472,0.5312,0.5356,5.69,5.37,3.43,4.04,328.5338,354.7973,18.6,3.5000000000000004,,,,55.43,52.25,2.96,4.74,4.58,-598.7891,-597.6415,10.7033,10.4026,18.2513,2023-07-28,0.2956,,,,,,30.6691,11.1155,11.5306,0.2765,,128.4166,153626.605,30.7419,30.5127,3.7647,3.38,1.55,-28.5769,2.19,22.15,33.223515
CMCSA,20.26052,15.3185,12.5066,18.69402,43.715,2022-07-27,28.39,2022-10-13,0.4448,-0.6943,0.472,0.4628,0.8943471,19.1803,19.7208,5.36,,2.9966,4.43511,1.1253,1.3244,2.6548,21.6713,23.4536,0.7827,0.6903,12.01,,1.0832,,2.7033327,1.1,6.5275,-0.44,5.26,1.2122,1.3190000000000002,1.2122,1.3190000000000002,-24.64,-23.9,16.49,-57.54,1.2122,1.3190000000000002,1.2122,4.59,68.1,68.53,69.67,1.2137,1.1454,178884.38,3.22503,0.0289,0.0304,3.15,2.9529,-30.23,10.23,4.42,12.91,17.17,11.56,19.02,88.29,34.21,1.8679,1.9392,6.78,12.9608,35.38224,12.9608,12.9608,33.3118,14.1455,15.3089,13.87,7.65,17.66,4.9266,-4.6996,-1.4056,3.5958,1.4732,1.4894,9.8401,9.7701,0.6528,0.6457,3.68,7.39,-4.25,-0.07,27.4102,28.4147,9.06,2.09,,,,6.63,15.8,5.75,2.97,7.37,6.8227,0.3115,1.2352,1.2218,22.7052,2023-07-28,0.7827,4.6491,101.8182,,5.472,11.613,2.7959,33.3118,12.9608,0.6903,1.0967,6.2887,274055.38,1.2122,1.3190000000000002,6.7726,5.220000000000001,4.3,-16.0867,4.14,13.04,26.809158
CRM,4.80034,18.0836,48.8595,6.27297,238.22,2023-07-19,126.34,2022-12-22,24.8752,-1.276,0.3172,0.3402,1.7270821,57.8385,56.5079,32.4,,6.2567,4.54367,12.3964,13.7569,,34.808,31.1075,1.0195,1.0164,,,,,,,1.8736,23.62,20.49,0.2086,0.3797,0.2086,0.3797,12.07,-15.69,619.29,-63.15,0.2086,0.3797,0.2086,23.43,74.1,73.34,74.23,0.1614,0.1641,219296.11,7.95229,0.0026,0.0048,-1.0532,19.8571,-28.04,6.87,0.66,2.41,2.3,1.72,2.85,,,2.8782,3.3728,27.6679,434.2497,1093.131,434.2497,434.2497,1054.3082,34.7372,31.0442,6.29,2.11,3.95,6.6548,34.5597,3.7129,51.4895,6.9946,6.813,2.6431,5.4399,0.3949,0.4054,22.4,24.36,11.28,15.2,31.4463,32.5789,17.0,0.21,,,,0.36,0.86,3.54,0.3,0.73,50.777,49.9587,0.1952,0.1672,69.8092,2023-07-28,0.9671,3.2785,3.815,40.36,,,6.9528,1054.3082,434.2497,0.9424,,1.6158,219743.11,0.2086,0.3797,30.839,0.54,8.37,12.0461,2.34,4.03,27.37445
CVX,6.74915,-5.521,-11.7413,7.40164,189.68,2022-11-14,140.46,2022-09-27,6.9677,0.6113,0.9147,0.9008,0.77942824,83.1666,84.1768,1.35,,19.6469,27.02178,9.3467,8.3401,3.6732,8.2161,8.6598,1.4717,1.4333,5.9,,5.705,,3.743647,5.77,30.4483,18.73,7.92,18.2809,18.4978,18.2809,18.4978,127.97,30.42,7.45,73.94,18.2809,18.4978,18.2809,40.25,42.15,38.31,39.79,0.1317,0.1272,301617.16,0.8516,0.8089,0.816,-2.6504,-5.3755,17.15,6.13,15.05,13.46,7.03,17.78,16.55,30.93,30.96,2.179,1.951,6.1868,8.4298,8.68063,8.4298,8.4298,8.5046,8.0158,8.4487,8.8,21.07,19.49,-16.9498,-26.0411,-1.0934,-29.3677,1.2796,1.2987,12.1269,10.9871,5.376,5.2968,18.92,11.83,-6.64,31.33,121.5036,122.1837,11.34,13.76,,,,22.27,22.68,8.61,19.42,19.68,80.70107,81.68396,0.1465,0.1455,-11.048,2023-07-28,1.1397,1.9194,1.91733,1.48288,19.9857,18.0458,18.8469,8.5046,8.4298,1.0427,5.7419,29.8577,309155.16,18.2809,18.4978,6.0807,13.88,-2.23,-5.8614,6.19,10.27,22.290552
CZR,2.72775,36.9019,21.633,2.77815,60.27,2023-07-27,31.31,2022-10-03,31.7529,0.1213,0.3228,0.3313,2.7470038,17.3255,16.7585,7.23,,0.056,4.64336,4.8435,4.496,,3119.4853,97.7384,0.7879,0.846,,,,,,,15.5991,78.39,53.73,-4.2009,-1.6571,-4.2009,-1.6571,,,,,-4.2009,-1.6571,-4.2009,-23.8,47.2,47.44,50.46,3.4094,3.5874,12778.824,13.2627,-0.0183,-0.0072,0.9177,0.7542,,-12.34,-8.31,-4.81,8.16,15.29,14.35,,,2.404,2.9199,9.0759,245.7466,,245.7466,245.7466,157.7633,1064.902,25.7119,-10.78,-5.22,-6.54,25.4731,7.3332,12.8519,20.6226,1.1809,1.125,19.9834,22.8781,0.2208,0.2318,62.36,48.85,23.47,12.8,50.5654,52.8326,18.39,1.44,,,,7.249999999999999,1.35,3.64,1.7399999999999998,0.18,3.6683,1.8193,6.8346,7.1226,38.9423,2023-07-28,0.6672,20.2735,48.1849,,112.6139,109.9208,1.7844,157.7633,245.7466,0.6996,,13.7336,37433.824,-4.2009,-1.6571,13.1065,0.15,63.19,18.9238,3.13,14.95,47.992447
DG,2.47021,-23.4643,-27.1714,2.68157,261.59,2022-10-28,151.27,2023-06-12,-31.2947,0.5147,1.3013,1.3239,0.22687234,25.2928,27.0601,2.12,,1.935,13.98673,1.7415,1.4273,1.3766,101.7298,513.3932,1.2876,1.3204,16.15,,2.1986,,1.4051801,1.69,18.2064,10.97,9.48,10.6762,10.6126,10.6762,10.6126,17.15,13.62,-2.9,8.82,10.6762,10.6126,10.6762,-18.17,31.13,31.23,31.63,1.2648,1.1842,36164.97,-1.5844,0.0142,0.014,13.0484,15.7516,-0.55,6.73,6.38,5.51,9.06,8.79,7.93,20.44,20.94,9.202,8.0829,20.9512,15.21,15.65071,15.21,15.21,14.969,85.3002,40.577,8.61,8.24,7.04,-34.8931,-41.4712,-2.5747,-50.1167,0.9556,0.9409,324.6132,910.3931,0.2226,0.2261,10.89,10.03,6.76,11.18,167.2354,174.6257,14.23,8.309999999999999,,,,43.6,40.03,20.36,19.25,19.32,19.8173,21.5904,1.2648,1.2264,-31.797,2023-07-28,0.0879,11.7444,10.1306,-2.49,4.206,3.9333,0.383,14.969,15.21,0.0597,2.2309,17.909,43130.673,10.6762,10.6126,18.2232,8.19,19.27,-44.1238,9.44,34.42,44.145767
DIS,18.74668,-12.9068,-17.5106,12.63918,126.48,2022-08-16,84.07,2022-12-28,-17.5266,-2.0876,0.4062,0.4271,1.283799,53.3453,54.9461,14.13,,0.5991,5.37784,6.5216,5.8389,0.0,182.7661,139.7931,1.0009,1.0074,,,0.0,,,,6.7677,-6.81,-6.01,1.7214,2.2551,1.7214,2.2551,-36.22,-21.27,170.01,55.59,1.7214,2.2551,1.7214,-34.31,36.94,34.24,33.0,0.4768,0.4605,156892.4,-2.35215,0.0143,0.0187,9.4761,5.2484,-25.26,7.89,3.8,5.83,11.06,7.89,9.73,26.19,64.34,1.81,1.8176,16.6076,38.0714,49.88356,38.0714,38.0714,49.8863,147.0407,37.0379,10.46,6.39,9.73,-24.3356,-31.8104,-7.3183,-20.0692,1.8966,1.8038,7.6382,6.5606,0.376,0.3954,5.92,8.45,13.33,13.52,45.2775,47.5046,5.32,1.54,,,,3.31,4.32,8.66,2.19,2.85,24.9264,26.4026,0.5118,0.4958,-1.7495,2023-07-28,0.9409,3.8737,3.7827,10.59,35.4058,35.5568,0.7833,49.8863,38.0714,0.9415,0.0,6.3996,195011.4,1.7214,2.2551,26.1052,2.02,6.41,-30.3557,6.07,13.11,28.309547
DISH,12.48509,0.0,-49.7842,12.1626,20.35,2022-08-15,5.83,2023-06-26,-62.2294,-6.1828,0.3171,0.3181,1.9510822,33.784,34.2022,17.86,,-12.8829,4.63287,4.9352,4.7867,0.0,,71.963,0.7653,0.7678,,,0.0,,,,4.0795,2.93,-4.67,3.6141,3.2842,3.6141,3.2842,11.57,-2.0,-48.68,-5.49,3.6141,3.2842,3.6141,,32.14,31.83,29.21,1.0994,1.1135,3717.602,12.89833,0.1622,0.1474,156.1834,147.1477,-1.09,12.23,13.81,5.63,15.45,12.26,8.17,71.1,257.99,0.4153,0.2726,1.19,1.776,2.0586,1.776,1.776,1.6141,1.3653,11.6582,16.89,18.61,8.23,-11.4288,-64.084,1.0525,-68.6046,0.2229,0.228,17.5909,16.2541,1.1746,1.1483,9.2,3.0,-8.63,-7.95,26.1724,25.5422,-0.92,4.38,,,,12.839999999999998,12.02,6.09,5.86,5.47,-36.82136,-36.81742,1.1899,1.1805,-50.2849,2023-07-28,0.6819,,,,21.9242,21.109,0.5999,1.6141,1.776,0.6789,0.0,4.327,22947.844,3.6141,3.2842,1.2023,4.08,14.07,-75.0585,4.67,14.32,74.09574
DKNG,7.86247,47.2883,123.0548,10.98424,32.32,2023-07-25,10.6936,2022-12-28,126.3158,-0.3861,0.5545,0.6432,2.8189175,1.5679,1.1909,,,-0.8558,-2.5067,2.1086,1.7839,,,,1.6726,1.4658,,,,,,,-2.7227,,,-3.1568,-2.9146,-3.1568,-2.9146,,,,,-3.1568,-2.9146,-3.1568,,52.48,33.75,32.21,0.9459,1.2299,14553.392,16.97403,-0.3281,-0.3113,,-766.5455,,-78.84,-61.5,-51.6,-80.89,-67.48,-50.64,,,3.8651,8.7824,,,,,,,,,-79.3,-64.4,-51.41,35.8595,108.755,14.5708,153.4977,6.4957,5.6128,46.2137,57.8555,0.5334,0.6174,90.63,,84.48,85.08,5.1326,5.6977,,-33.91434,,,,-91.82843,-34.91453,,-46.35149,-48.93607,0.6469,0.308,0.9459,1.2299,171.8174,2023-07-28,1.5965,9.3675,33.9517,,,,-0.6686,,,1.3723,,-2.9608,14280.547,-3.1568,-2.9146,,,,113.4867,,,50.22815
EA,2.13094,6.1853,9.1436,2.09455,140.3,2023-07-17,108.53,2023-03-13,4.0324,0.3283,0.5517,0.5583,0.6565067,26.7143,26.7143,12.21,,4.9194,4.81295,10.1355,10.1355,0.5559,27.7245,27.7245,1.2082,1.2082,,,0.7595,,0.5526871,0.76,5.259,0.18,-23.32,2.8849,2.8685,2.8849,2.8685,-34.58,-2.9,,4.15,2.8849,2.8685,2.8849,-3.26,74.33,76.03,76.09,0.2578,0.2578,37778.0,5.67463,0.0599,0.0599,37.4062,190.4286,-11.81,22.49,10.8,-0.64,19.78,17.94,9.34,26.18,19.83,4.5291,4.5291,17.2976,36.36,47.50961,36.36,36.36,47.1047,28.1296,18.555,20.08,17.86,9.66,-5.2435,-5.1562,2.1297,-5.7726,5.0873,5.0873,11.1334,11.1334,0.5542,0.5542,10.28,7.59,2.68,6.22,26.7122,27.1022,10.11,5.96,,,,11.0,13.58,15.54,8.74,10.9,24.4505,24.4505,0.2578,0.2578,12.5471,2023-07-28,1.2082,4.9484,4.9484,8.09,39.2464,33.9481,4.9194,47.1047,36.36,1.2082,0.7595,5.2626,37234.0,2.8849,2.8685,24.3729,7.76,14.11,-8.7967,11.34,18.37,18.576242
EFX,1.62349,2.439,-8.9048,0.8148,240.35,2023-07-19,145.98,2022-10-21,2.2531,-4.469,0.4436,0.4404,1.4460413,32.298,34.1581,4.09,,1.0824,9.07552,2.3282,1.3374,0.7653,229.7587,65.8155,0.6801,1.2044,0.01,,1.5626,,0.76658475,1.56,12.2146,8.22,8.07,5.6464,4.2486,5.6464,4.2486,,3.16,-31.34,-29.99,5.6464,4.2486,5.6464,-26.01,57.92,57.49,55.37,1.2183,1.313,24958.006,-9.75351,0.0497,0.0375,4.2078,6.0803,-4.9,7.74,13.59,10.5,12.74,20.62,17.98,27.45,36.41,6.0149,6.8854,22.8281,47.5753,37.6081,47.5753,47.5753,35.8489,188.2203,42.5396,10.43,18.15,14.58,-8.9898,-23.2046,-16.7527,-13.9464,4.8725,4.9307,6.4621,5.5357,0.3659,0.3616,13.45,8.78,0.07,-1.83,41.5426,40.8869,8.46,6.03,,,,17.599999999999998,13.14,7.53,7.15,5.36,16.6792,19.5371,1.4627,1.3533,4.3733,2023-07-28,0.6134,11.6475,12.0382,2.2,,,3.7726,35.8489,47.5753,1.0682,1.5585,13.5669,30466.006,5.6464,4.2486,32.9653,4.5600000000000005,23.41,-10.576,6.1,16.59,29.224728
F,59.47518,16.6525,10.7258,59.28216,16.68,2022-08-16,10.9,2022-12-28,4.094,-1.4358,0.6177,0.6567,1.7130804,10.4475,10.2013,3.57,,-0.0031,2.56087,10.6475,9.5143,8.7712,,49.65,1.2024,1.2004,-5.27,,0.4864,,4.3891735,0.55,3.9464,-1.22,17.15,-0.4935,0.7168,-0.4935,0.7168,,,,-74.82,-0.4935,0.7168,-0.4935,,8.93,10.88,11.14,2.0424,2.1537,54690.53,-7.93126,-0.0115,0.0167,0.7305,0.7305,,2.64,-1.25,4.24,0.96,3.89,5.09,2.25,112.95,1.0813,1.1896,5.0937,14.7295,,14.7295,14.7295,3.049,5.7208,12.5783,2.51,-1.91,5.21,5.2237,-3.574,-11.4428,-0.263,0.346,0.3313,11.5324,11.6766,0.9136,0.9541,0.46,0.16,20.3,22.64,39.3764,40.9667,0.08,6.98,,,,36.97,8.58,3.66,9.61,2.07,10.4267,5.1183,3.2138,3.2878,18.0567,2023-07-28,1.0571,1.0835,3.261,8.3,10.7754,9.5481,0.8334,3.049,14.7295,1.0313,1.1573,3.9405,171838.53,-0.4935,0.7168,7.9805,1.47,-0.52,-8.7351,2.67,16.96,33.468884
FUBO,19.14096,127.193,31.4721,14.80485,8.1399,2022-08-16,0.96,2023-03-20,9.2827,-10.6897,0.7894,0.8383,2.4461186,1.9713,1.5949,,,-1.5158,-1.66142,1.6076,1.2737,,,,0.9958,1.0851,,,,,,,-1.6247,,,-3.0771,-2.5741,-3.0771,-2.5741,,,,,-3.0771,-2.5741,-3.0771,,,50.0,10.34,0.9534,0.8789,755.8916,32.69231,-1.1009,-0.989,-30.5902,-29.1094,,-1245.52,-55.66,-25.78,-406.82,-40.83,-25.11,,,0.8222,0.565,230.4548,,,,,71.9897,581.4551,264.2978,-1287.38,-42.3,-25.74,116.8011,14.2659,26.4267,29.7412,0.7494,0.6928,25.7636,29.1289,1.9778,2.1393,516.73,,34.03,43.43,5.5279,4.8392,,10500.0,,,,-77.52156,-26.69767,-54.30042,-44.91331,-36.33605,1.1518,1.0004,0.972,0.8959,48.8506,2023-07-28,0.8791,1.4072,0.9007,,,,-0.9513,71.9897,,0.9503,,-2.0597,799.5906,-3.0771,-2.5741,436.9316,,157.4,-7.2488,-40.52489,-91.56966,127.22419
GME,2.37351,16.9474,13.3095,4.59747,47.99,2022-08-08,15.41,2023-01-06,-34.2214,0.1803,1.9038,1.8807,1.8112551,4.3411,4.1733,-27.63,,0.1717,-0.48431,4.5653,4.2996,0.0044,109.9765,22.5383,1.7353,1.7087,,,0.0,,,,-0.5829,,,-1.0293,-0.6761,-1.0293,-0.6761,,,,,-1.0293,-0.6761,-1.0293,-30.46,25.54,23.15,23.22,0.0217,0.0207,6771.573,-8.53608,-0.0285,-0.0187,-31.8015,-30.632,,-6.25,-5.28,-4.08,-6.2,-5.26,-4.72,447.26,232.0,4.8947,4.4452,13.1359,140.4891,,140.4891,140.4891,195.1462,129.4756,13.7942,-6.53,-5.1,-4.09,5.5186,-0.9903,-14.0454,2.0487,1.1425,1.1704,40.1844,51.9847,0.5388,0.526,-2.86,-7.06,-10.25,-5.34,19.4845,19.0013,-25.38,0.69,,,,1.5699999999999998,3.65,12.23,1.14,3.54,4.3162,6.4043,0.0299,0.0293,20.3684,2023-07-28,1.3123,4.923,37.5253,-5.53,5.7014,5.277,0.8375,195.1462,140.4891,1.0889,0.0046,-0.8836,5751.773,-1.0293,-0.6761,62.5839,1.55,-13.19,-47.0505,7.0,14.27,64.75616
GOOGL,42.08304,24.6028,32.0139,34.17427,133.24,2023-07-27,83.34,2022-11-03,14.4525,7.8154,0.7743,0.7861,1.2198981,19.9349,20.5073,12.68,,4.6704,5.57971,8.8538,9.0475,,27.2158,26.3805,2.378,2.3526,,,,,,,6.6606,22.93,17.91,4.5575,4.4295,4.5575,4.4295,22.85,38.33,-4.65,-18.46,4.5575,4.4295,4.5575,20.21,55.59,55.38,57.11,0.0502,0.0449,1645074.2,0.26734,0.3145,0.3072,16.1988,16.1988,13.17,23.29,21.2,21.57,24.17,26.46,24.95,,,4.4701,5.0982,18.2993,28.0792,26.33467,28.0792,28.0792,27.4307,27.4133,26.572,27.36,25.22,26.09,13.174,17.7141,5.3659,28.3424,5.8164,5.7801,7.1098,8.0468,1.4831,1.4924,20.45,20.6,2.61,5.28,21.4937,22.1954,22.23,16.42,,,,23.41,22.84,20.24,22.12,21.6,19.7727,20.3526,0.0586,0.0539,46.6621,2023-07-28,2.3395,4.5068,5.1369,11.14,65.7307,68.6944,4.8664,27.4307,28.0792,2.319,,6.9388,1633219.2,4.5575,4.4295,17.9799,16.18,19.02,1.6234,15.17,21.21,28.6852
HD,2.69687,11.2645,4.6698,4.087,347.25,2022-12-13,265.61,2022-09-26,10.3041,2.8833,2.059,2.0392,1.0057136,1.5374,0.3595,-26.43,,11.315,19.28281,2.7136,1.2512,2.3977,32.39,28.3807,1.4051,1.2742,16.31,,7.5953,,2.5355613,7.79,25.6669,9.94,10.07,16.6878,16.4206,16.6878,16.4206,17.65,18.02,-6.56,4.24,16.6878,16.4206,16.6878,2.55,33.91,33.53,33.7,24.9091,104.5718,331361.9,3.16443,0.0363,0.0355,14.4804,15.3899,4.92,10.39,10.87,10.4,14.61,15.27,14.9,45.54,47.44,205.0378,832.7944,20.1558,19.7863,19.20385,19.7863,19.7863,19.3722,28.8241,25.2562,13.66,14.28,13.72,-0.1643,-9.63,3.829,-13.9348,2.1052,2.1275,46.6863,38.226,0.3338,0.3303,12.61,9.3,-4.24,2.09,153.5639,153.7532,12.5,22.38,,,,1095.07,1936.63,38.62,38.22,38.74,10.4225,-7.03575,27.6524,116.721,4.3849,2023-07-28,0.3282,2.8121,,,4.4565,4.0879,13.0288,19.3722,19.7863,0.2771,7.8045,25.8478,372354.9,16.6878,16.4206,22.6727,21.93,10.46,-2.525,22.14,474.64,22.693165
INTC,38.12474,19.633,18.2409,43.57025,40.425,2022-07-27,24.59,2022-10-13,-14.0119,1.5579,0.3463,0.3166,1.3513359,24.5161,23.5097,10.46,,-2.3246,2.22777,6.8499,6.6013,4.2019,,,1.5676,1.7637,6.29,,1.4614,,1.4551804,1.46,1.6258,-27.62,-37.22,1.9437,-0.6888000000000001,1.9437,-0.6888000000000001,-25.53,-0.43,,,1.9437,-0.6888000000000001,1.9437,,54.87,42.61,34.21,0.3716,0.498,143315.55,1.73445,0.0608,-0.0217,-4.5969,151.4323,-3.64,24.73,12.71,-23.54,24.77,5.29,-12.53,74.83,28.24,1.0755,1.399,9.2863,6.9645,17.50243,6.9645,6.9645,17.8831,14.8329,46.2607,27.67,12.32,-9.88,8.2042,3.9411,1.701,12.403,2.2729,2.5403,9.2795,10.3317,0.478,0.4277,-4.31,0.09,-36.17,-27.4,15.2932,13.5811,3.33,4.4,,,,7.9,21.19,15.75,5.59,15.14,23.0614,22.175,0.4146,0.5127,30.7227,2023-07-28,1.1564,1.1433,1.4832,10.8,3.0157,2.7909,-4.7732,17.8831,6.9645,1.2894,1.4581,0.8712,185356.55,1.9437,-0.6888000000000001,9.2863,11.97,16.29,-26.841,12.34,21.94,41.577587
JNJ,10.80022,5.523,1.8817,7.42885,181.039,2022-12-14,150.11,2023-03-23,-0.5527,2.5775,0.5067,0.523,0.20846511,29.3863,27.2749,5.56,,6.5752,7.4822,8.9987,9.4726,2.6372,28.7298,30.4635,0.9909,1.0665,9.96,,4.4566,,2.7559056,4.52,4.9957,4.34,-0.23,6.7349,3.2336,6.7349,3.2336,6.14,70.05,8.57,-52.99,6.7349,3.2336,6.7349,-0.68,66.94,67.36,67.83,0.3501,0.4929,448853.3,-3.41348,0.1175,0.0558,35.18796,152.8382,61.88,19.23,18.9,20.15,22.07,22.88,26.49,65.11,65.11,6.0133,5.7509,21.9252,25.0253,23.73769,25.0253,25.0253,25.0183,26.1189,27.695,22.07,22.88,26.49,-4.8689,-15.3245,1.6078,-21.3341,4.7276,4.5464,6.0391,6.027,0.6218,0.6465,4.98,4.43,6.29,3.28,35.6406,37.6006,5.06,9.57,,,,23.36,23.73,16.82,15.4,16.31,10.8965,9.0139,0.5164,0.7465,-2.2247,2023-07-28,0.7111,16.2171,17.4014,32.66,2.71,2.6725,6.2375,25.0183,25.0253,0.806,4.5286,11.0774,493722.3,6.7349,3.2336,21.1783,9.99,4.1,-17.0842,9.81,25.17,16.28752
KO,12.2355,-2.2083,3.9281,13.13878,65.47,2022-08-19,54.015,2022-10-10,-0.9046,0.0,0.4636,0.4629,0.5519116,5.5695,5.8305,6.8,,2.2029,2.55648,2.6874,3.3052,2.1312,31.7874,33.6286,1.1454,1.1508,3.55,,1.7603,,2.946829,1.76,2.8629,12.72,10.67,2.1936,2.2702,2.1936,2.2702,1.99,50.03,12.03,-4.25,2.1936,2.2702,2.1936,12.5,60.08,58.14,60.68,1.5091,1.4329,272664.66,3.68648,0.1157,0.1196,118.1837,67.1348,45.1,22.73,22.19,28.3,25.85,25.5,34.66,79.82,58.89,11.4118,10.6421,25.8327,27.6312,28.46514,27.6312,27.6312,28.5752,28.5992,28.5992,28.35,27.17,36.91,-13.6371,-10.3717,0.7497,-20.159,6.3404,6.2692,12.2886,9.4141,0.5213,0.5272,4.89,3.5,4.66,8.39,9.886,10.0099,3.37,10.29,,,,39.59,41.49,13.48,15.09,15.29,2.1386,2.3861,1.6241,1.6814,-1.8393,2023-07-28,0.797,29.7193,26.0039,-1.21,4.7077,4.3047,2.0837,28.5752,27.6312,0.8089,1.3427,2.8568,303060.66,2.1936,2.2702,24.7472,10.5,-3.24,-13.7337,9.52,41.42,11.713925
