symbol,share,change,transactionDate,transactionCode,transactionPrice,name,filingDate,id
AMC,148629716,-4087923,2023-05-16,J,1.65,Gulati Himanshu,2023-05-18,0001140361-23-025552
AMC,152717639,-364047,2023-05-16,S,1.6,Gulati Himanshu,2023-05-18,0001140361-23-025552
AMC,153081686,-133900,2023-05-16,S,1.58,Gulati Himanshu,2023-05-18,0001140361-23-025552
AMC,153215586,-500000,2023-05-15,S,1.63,Gulati Himanshu,2023-05-17,0001140361-23-025300
AMC,153715586,-22800,2023-05-15,S,1.61,Gulati Himanshu,2023-05-17,0001140361-23-025300
AMC,153738386,-613111,2023-05-15,S,1.62,Gulati Himanshu,2023-05-17,0001140361-23-025300
AMC,154351497,-100036,2023-05-15,S,1.6,Gulati Himanshu,2023-05-17,0001140361-23-025300
AMC,0,200000,2023-05-08,P,5.9,Gulati Himanshu,2023-05-10,0001140361-23-023933
AMC,200000,325581,2023-05-08,P,5.91,Gulati Himanshu,2023-05-10,0001140361-23-023933
AMC,0,400000,2023-05-08,P,5.91,Gulati Himanshu,2023-05-10,0001140361-23-023933
AMC,14770,-12750,2023-05-04,S,1.33,Gulati Himanshu,2023-05-05,0001140361-23-023236
AMC,27520,-6374,2023-05-04,S,1.27,Gulati Himanshu,2023-05-05,0001140361-23-023236
AMC,33894,-12750,2023-05-03,S,1.55,Gulati Himanshu,2023-05-04,0001140361-23-022978
AMC,154451533,-955190,2023-05-03,S,1.52,Gulati Himanshu,2023-05-04,0001140361-23-022978
AMC,155406723,-1263420,2023-05-02,S,1.51,Gulati Himanshu,2023-05-04,0001140361-23-022978
AMC,46644,-3187,2023-04-25,S,2.25,Gulati Himanshu,2023-04-26,0001140361-23-020631
AMC,0,-10000,2023-04-24,X,0.0,Gulati Himanshu,2023-04-26,0001140361-23-020631
AMC,1000000,1000000,2023-04-24,X,5.0,Gulati Himanshu,2023-04-26,0001140361-23-020631
AMC,156670143,-1500000,2023-04-24,S,1.54,Gulati Himanshu,2023-04-26,0001140361-23-020631
AMC,0,-9887,2023-04-21,E,0.0,Gulati Himanshu,2023-04-25,0001140361-23-020197
AMC,9887,-6,2023-04-20,X,0.0,Gulati Himanshu,2023-04-21,0001140361-23-019653
AMC,0,-600,2023-04-20,X,5.0,Gulati Himanshu,2023-04-21,0001140361-23-019653
AMC,9893,-107,2023-04-19,X,0.0,Gulati Himanshu,2023-04-21,0001140361-23-019653
AMC,0,-10700,2023-04-19,X,5.0,Gulati Himanshu,2023-04-21,0001140361-23-019653
