symbol,period,actual,estimate,surprise,surprisePercent
RCI.B.TO,2022-12-31,1.09,1.0137,0.0763,7.5269
RCI.B.TO,2022-09-30,0.84,0.8824,-0.0424,-4.8051
RCI.B.TO,2022-06-30,0.86,0.8747,-0.0147,-1.6806
RCI.B.TO,2022-03-31,0.899,0.8533,0.0457,5.3557
ROKU,2023-06-30,-0.76,-1.2931,0.5331,41.2265
ROKU,2023-03-31,-1.38,-1.3978,0.0178,1.2734
ROKU,2022-12-31,-1.7,-1.7634,0.0634,3.5953
ROKU,2022-09-30,-0.88,-1.3025,0.4225,32.4376
ROKU,2022-06-30,-0.82,-0.7032,-0.1168,-16.6098
ROKU,2022-03-31,-0.19,-0.1852,-0.0048,-2.5918
SAVE,2023-03-31,-0.82,-0.8687,0.0487,5.6061
SAVE,2022-12-31,0.12,0.04,0.08,200.0
SAVE,2022-09-30,0.03,-0.0974,0.1274,130.8008
SAVE,2022-06-30,-0.3,-0.4669,0.1669,35.7464
SAVE,2022-03-31,-1.6,-1.6096,0.0096,0.5964
SAVE,2021-12-31,-0.64,-0.8923,0.2523,28.2752
SIRI,2023-03-31,0.06,0.0669,-0.0069,-10.3139
SIRI,2022-12-31,0.09,0.08,0.01,12.5
SIRI,2022-09-30,0.06,0.0858,-0.0258,-30.0699
SIRI,2022-06-30,0.07,0.0818,-0.0118,-14.4254
SIRI,2022-03-31,0.08,0.0826,-0.0026,-3.1477
SIRI,2021-12-31,0.08,0.072,0.008,11.1111
SNAP,2023-06-30,-0.02,-0.0434,0.0234,53.9171
SNAP,2023-03-31,0.01,-0.0063,0.0163,258.7302
SNAP,2022-12-31,0.14,0.116,0.024,20.6897
SNAP,2022-09-30,0.08,-0.0139,0.0939,675.5396
SNAP,2022-06-30,-0.02,-0.0157,-0.0043,-27.3885
SNAP,2022-03-31,-0.02,0.0068,-0.0268,-394.1176
SNAP,2021-12-31,0.22,0.1068,0.1132,105.9925
SOFI,2023-03-31,-0.05,-0.0711,0.0211,29.6765
SOFI,2022-12-31,-0.05,-0.0959,0.0459,47.8624
SOFI,2022-09-30,-0.09,-0.1051,0.0151,14.3673
SOFI,2022-06-30,-0.12,-0.1371,0.0171,12.4726
SOFI,2022-03-31,-0.14,-0.1496,0.0096,6.4171
SPOT,2023-06-30,-1.530633,-0.6571,-0.873533,-132.9376
SPOT,2023-03-31,-1.16,-0.8649,-0.2951,-34.1196
SPOT,2022-12-31,-1.4,-1.2991,-0.1009,-7.7669
SPOT,2022-09-30,-0.99,-0.8522,-0.1378,-16.1699
SPOT,2022-06-30,-0.85,-0.6475,-0.2025,-31.2741
SPOT,2022-03-31,0.21,-0.2438,0.4538,186.1362
T,2023-06-30,0.63,0.6142,0.0158,2.5725
T,2023-03-31,0.6,0.5969,0.0031,0.5193
T,2022-12-31,0.61,0.5817,0.0283,4.8651
T,2022-09-30,0.68,0.6238,0.0562,9.0093
T,2022-06-30,0.65,0.6182,0.0318,5.144
T,2022-03-31,0.77,0.8008,-0.0308,-3.8462
T,2021-12-31,0.78,0.7735,0.0065,0.8403
UBER,2023-03-31,-0.08,-0.0884,0.0084,9.5023
UBER,2022-12-31,0.29,-0.1876,0.4776,254.5842
UBER,2022-09-30,-0.61,-0.2227,-0.3873,-173.9111
UBER,2022-06-30,-1.33,-0.265,-1.065,-401.8868
UBER,2022-03-31,-0.18,-0.2448,0.0648,26.4706
UBER,2021-12-31,-0.26,-0.3581,0.0981,27.3946
UNH,2023-06-30,6.14,6.1234,0.0166,0.2711
UNH,2023-03-31,6.26,6.1876,0.0724,1.1701
UNH,2022-12-31,5.34,5.2195,0.1205,2.3087
UNH,2022-09-30,5.79,5.4758,0.3142,5.738
UNH,2022-06-30,5.57,5.2514,0.3186,6.067
UNH,2022-03-31,5.49,5.4303,0.0597,1.0994
UNH,2021-12-31,4.48,4.3485,0.1315,3.024
V,2023-09-30,2.16,2.1579,0.0021,0.0973
V,2023-06-30,2.09,2.0263,0.0637,3.1437
V,2023-03-31,2.18,2.0496,0.1304,6.3622
V,2022-12-31,1.93,1.9015,0.0285,1.4988
V,2022-09-30,1.98,1.7813,0.1987,11.1548
V,2022-06-30,1.79,1.6783,0.1117,6.6555
V,2022-03-31,1.81,1.7365,0.0735,4.2327
VZ,2023-06-30,1.21,1.2014,0.0086,0.7158
VZ,2023-03-31,1.2,1.2327,-0.0327,-2.6527
VZ,2022-12-31,1.19,1.2219,-0.0319,-2.6107
VZ,2022-09-30,1.32,1.3242,-0.0042,-0.3172
VZ,2022-06-30,1.31,1.3617,-0.0517,-3.7967
VZ,2022-03-31,1.35,1.3858,-0.0358,-2.5833
VZ,2021-12-31,1.31,1.3222,-0.0122,-0.9227
WBD,2023-03-31,-0.44,0.0064,-0.4464,-6975.0
WBD,2022-12-31,-0.86,-0.2072,-0.6528,-315.0579
WBD,2022-09-30,-0.95,-0.2116,-0.7384,-348.9603
WBD,2022-06-30,0.82,0.0213,0.7987,3749.7653
WBD,2022-03-31,0.69,0.0404,0.6496,1607.9208
WBD,2021-12-31,0.08,0.8368,-0.7568,-90.4398
WFC,2023-06-30,1.25,1.2003,0.0497,4.1406
WFC,2023-03-31,1.23,1.1419,0.0881,7.7152
WFC,2022-12-31,0.61,0.6694,-0.0594,-8.8736
WFC,2022-09-30,1.3,1.1041,0.1959,17.743
WFC,2022-06-30,0.82,0.8088,0.0112,1.3848
WFC,2022-03-31,0.88,0.8105,0.0695,8.575
WFC,2021-12-31,1.25,1.1396,0.1104,9.6876
WOW,2023-03-31,-0.46,0.0765,-0.5365,-701.3072
WOW,2022-12-31,-0.15,0.0841,-0.2341,-278.3591
WOW,2022-09-30,0.01,0.0747,-0.0647,-86.6131
WOW,2022-06-30,0.05,0.0678,-0.0178,-26.2537
WOW,2022-03-31,0.07,0.083,-0.013,-15.6627
WOW,2021-12-31,-0.03,0.5236,-0.5536,-105.7296
WWE,2023-03-31,0.5,0.4279,0.0721,16.8497
WWE,2022-12-31,0.52,0.5888,-0.0688,-11.6848
WWE,2022-09-30,0.65,0.5069,0.1431,28.2304
WWE,2022-06-30,0.59,0.5627,0.0273,4.8516
WWE,2022-03-31,0.77,0.64,0.13,20.3125
WYNN,2023-03-31,0.29,-0.0134,0.3034,2264.1791
WYNN,2022-12-31,-1.23,-0.9277,-0.3023,-32.586
WYNN,2022-09-30,-1.2,-1.0213,-0.1787,-17.4973
WYNN,2022-06-30,-0.82,-1.0416,0.2216,21.275
WYNN,2022-03-31,-1.21,-1.1753,-0.0347,-2.9524
XOM,2023-06-30,1.94,2.2634,-0.3234,-14.2882
XOM,2023-03-31,2.83,2.6119,0.2181,8.3502
XOM,2022-12-31,3.4,3.3279,0.0721,2.1665
XOM,2022-09-30,4.45,3.8305,0.6195,16.1728
XOM,2022-06-30,4.14,3.7748,0.3652,9.6747
XOM,2022-03-31,2.07,2.1436,-0.0736,-3.4335
XOM,2021-12-31,2.05,1.957,0.093,4.7522
YELP,2023-03-31,-0.02,-0.0525,0.0325,61.9048
YELP,2022-12-31,0.28,0.3523,-0.0723,-20.5223
YELP,2022-09-30,0.13,0.2261,-0.0961,-42.5033
YELP,2022-06-30,0.11,0.0102,0.0998,978.4314
YELP,2022-03-31,-0.01,-0.0952,0.0852,89.4958
