symbol,period,strongBuy,buy,hold,sell,strongSell
V,2023-03-01,14,26,5,1,0
V,2023-02-01,14,26,5,1,0
V,2023-01-01,14,25,5,0,0
V,2022-12-01,14,26,6,0,0
V,2022-11-01,15,26,5,0,0
V,2022-10-01,15,26,5,0,0
V,2022-09-01,15,26,5,0,0
VZ,2023-07-01,5,9,20,2,1
VZ,2023-06-01,5,9,20,2,1
VZ,2023-05-01,5,9,20,2,1
VZ,2023-04-01,5,9,20,2,1
VZ,2023-03-01,5,9,22,2,1
VZ,2023-02-01,5,9,22,2,1
VZ,2023-01-01,5,9,21,3,1
VZ,2022-12-01,5,8,22,3,1
VZ,2022-11-01,5,8,22,3,1
VZ,2022-10-01,4,8,23,3,1
VZ,2022-09-01,4,8,22,3,1
WBD,2023-07-01,6,15,10,1,0
WBD,2023-06-01,6,15,10,1,0
WBD,2023-05-01,5,14,12,1,0
WBD,2023-04-01,5,14,12,1,0
WBD,2023-03-01,4,13,13,1,0
WBD,2023-02-01,4,13,13,1,0
WBD,2023-01-01,3,12,14,1,0
WBD,2022-12-01,3,12,14,1,0
WBD,2022-11-01,3,11,15,1,0
WFC,2023-07-01,8,16,8,0,0
WFC,2023-06-01,8,16,8,0,0
WFC,2023-05-01,8,16,8,0,0
WFC,2023-04-01,7,16,8,0,0
WFC,2023-03-01,7,17,8,0,0
WFC,2023-02-01,7,17,8,0,0
WFC,2023-01-01,8,16,8,0,0
WFC,2022-12-01,8,16,8,0,0
WFC,2022-11-01,8,16,8,0,0
WFC,2022-10-01,8,15,8,1,0
WFC,2022-09-01,8,15,9,0,0
WOW,2023-07-01,1,6,3,0,0
WOW,2023-06-01,1,6,3,0,0
WOW,2023-05-01,1,6,3,0,0
WOW,2023-04-01,1,5,5,0,0
WOW,2023-03-01,1,6,5,0,0
WOW,2023-02-01,2,5,5,0,0
WOW,2023-01-01,2,5,5,0,0
WOW,2022-12-01,2,5,5,0,0
WOW,2022-11-01,2,6,5,0,0
WWE,2023-07-01,4,5,5,0,0
WWE,2023-06-01,4,5,6,0,0
WWE,2023-05-01,4,5,6,0,0
WWE,2023-04-01,4,5,6,0,0
WWE,2023-03-01,4,5,6,0,0
WWE,2023-02-01,4,5,6,0,0
WWE,2023-01-01,4,5,5,1,0
WWE,2022-12-01,4,5,5,1,0
WWE,2022-11-01,4,5,6,1,0
WYNN,2023-07-01,4,9,8,1,0
WYNN,2023-06-01,5,9,7,1,0
WYNN,2023-05-01,5,8,8,1,0
WYNN,2023-04-01,5,8,8,1,0
WYNN,2023-03-01,5,8,8,1,0
WYNN,2023-02-01,5,8,8,1,0
WYNN,2023-01-01,5,7,9,0,0
WYNN,2022-12-01,5,7,8,0,0
WYNN,2022-11-01,5,6,9,0,0
XOM,2023-07-01,6,10,14,1,0
XOM,2023-06-01,6,11,13,1,0
XOM,2023-05-01,6,13,12,1,0
XOM,2023-04-01,6,14,12,1,0
XOM,2023-03-01,6,14,12,1,0
XOM,2023-02-01,6,14,12,1,0
XOM,2023-01-01,6,13,14,0,0
XOM,2022-12-01,6,13,14,0,0
XOM,2022-11-01,6,13,13,0,0
XOM,2022-10-01,5,13,14,0,0
XOM,2022-09-01,5,13,14,0,0
YELP,2023-07-01,0,1,8,4,2
YELP,2023-06-01,0,1,8,4,2
YELP,2023-05-01,0,1,8,4,2
YELP,2023-04-01,0,1,8,4,2
YELP,2023-03-01,0,1,8,4,2
YELP,2023-02-01,0,1,8,4,2
YELP,2023-01-01,0,1,8,4,2
YELP,2022-12-01,0,1,9,3,2
YELP,2022-11-01,0,1,9,3,2
