symbol,year,month,change,mspr
AAPL,2012,10,-21687,-20.629333
AAPL,2012,9,18840,29.594723
AAPL,2012,9,-22410,-21.361166
AAPL,2012,8,-7500,-13.043478
AAPL,2012,8,-32500,-39.39394
AAPL,2012,7,1,0.00499975
AAPL,2012,7,-9999,-33.328888
AAPL,2012,5,-100,-100.0
AAPL,2012,5,-10554,-100.0
AAPL,2012,4,-16700,-4.887414
AAPL,2012,3,-619765,-29.306566
AAPL,2012,2,-7741,-37.851448
AAPL,2012,1,-30997,-32.584175
AAPL,2011,12,-4025,-36.50794
AAPL,2011,11,974312,92.062836
AAPL,2011,10,-26666,-22.222408
AAPL,2011,9,66331,31.337135
AAPL,2011,8,996600,98.73192
AAPL,2011,7,-18378,-33.040882
AAPL,2011,6,-2500,-33.333332
AAPL,2011,5,-28964,-85.278534
AAPL,2011,4,-53607,-65.28919
AAPL,2011,3,-27596,-25.647793
AAPL,2011,3,-67596,-45.79799
AAPL,2011,2,-35855,-72.95757
AAPL,2011,2,-37626,-62.023605
AAPL,2011,1,-9348,-86.1408
AAPL,2010,12,-14627,-42.241604
AAPL,2010,11,-22815,-98.404144
AAPL,2010,10,-224882,-34.040436
AAPL,2010,9,775337,82.075516
AAPL,2010,8,-125,-100.0
AAPL,2010,7,1069,100.0
AAPL,2010,6,-31000,-34.065933
AAPL,2010,5,-45200,-42.96578
AAPL,2010,4,-90721,-62.850117
AAPL,2010,3,161265,7.540205
AAPL,2010,2,-21900,-100.0
AAPL,2010,1,-10000,-100.0
AMC,2023,3,1500000,100.0
AMC,2023,2,-82402,-100.0
AMC,2023,2,-182402,-100.0
AMC,2023,1,-667717,-15.50047
AMC,2022,12,-30034,-18.384037
AMC,2022,8,2832576,99.159836
AMC,2022,3,-63389,-7.940986
AMC,2022,2,1039341,35.517982
AMC,2022,1,128517,4.7450266
AMC,2022,1,-593914,-17.310795
AMC,2021,12,-311834,-68.00674
AMC,2021,12,-370167,-71.617455
AMC,2021,11,-604463,-24.863571
AMC,2021,11,-1740414,-46.948505
AMC,2021,8,-45405,-100.0
AMC,2021,6,-199106,-100.0
AMC,2021,5,-29495,-100.0
AMC,2021,4,-45404,-100.0
AMC,2021,3,-14296066,-98.294106
AMC,2021,2,44042724,91.44164
AMC,2021,1,-111300,-0.16675259
AMC,2020,12,-8788490,-82.66855
AMC,2020,10,1143849,38.092354
AMC,2020,8,19831,100.0
AMC,2019,3,17496,53.840473
AMC,2019,2,79463,81.635315
AMC,2019,1,123013,65.20251
AMC,2018,10,-17500,-100.0
AMC,2018,9,-75826927,-100.0
AMC,2018,7,-17500,-100.0
AMC,2018,3,62979,58.7902
AMC,2018,2,72263,85.499115
AMC,2018,1,12605,45.988544
AMC,2017,12,-2000,-100.0
AMC,2017,9,35000,100.0
AMC,2017,8,27000,100.0
AMC,2017,7,3500,100.0
AMC,2017,6,10000,100.0
AMC,2017,3,39884,71.69513
AMC,2017,2,31747,100.0
AMC,2017,1,158842,49.033176
AMC,2016,8,10000,100.0
AMC,2016,3,10000,100.0
AMC,2016,2,0,0.0
AMC,2016,1,17123,57.365406
AMC,2015,6,-5021,-100.0
AMC,2015,5,-9000,-100.0
AMC,2015,3,0,0.0
AMC,2015,1,15312,100.0
AMC,2014,1,10004,100.0
AMC,2013,12,151658,100.0
AMD,2023,2,-30000,-33.333332
AMD,2023,2,-33000,-35.48387
AMD,2023,1,-190,-16.75485
AMD,2022,12,-216002,-16.969069
AMD,2022,11,-3000,-100.0
AMD,2022,10,-10425,-100.0
AMD,2022,8,308628,4.82935
AMD,2022,7,-47812,-30.89269
AMD,2022,6,-232169,-26.309444
AMD,2022,5,-34422,-35.300995
AMD,2022,5,-48024,-32.670277
AMD,2022,4,18606,19.689306
AMD,2022,4,73903,28.110796
AMD,2022,3,127521,26.755558
AMD,2022,3,-83701,-9.626016
AMD,2022,2,334988,49.764835
AMD,2022,2,472243,41.313675
AMD,2022,1,-10000,-100.0
AMD,2022,1,-8583,-75.17737
AMD,2021,12,0,0.0
AMD,2021,12,-235221,-38.836945
AMD,2021,11,-17792,-2.5458095
AMD,2021,11,-387006,-36.233532
AMD,2021,10,-64013,-32.165234
AMD,2021,10,-131513,-49.34581
AMD,2021,9,-204370,-34.48375
AMD,2021,8,545860,28.449116
AMD,2021,8,-195115,-4.9506054
AMD,2021,7,-31000,-18.674698
AMD,2021,7,-43500,-24.369747
AMD,2021,6,-17055,-3.7589345
AMD,2021,6,-290387,-34.691673
AMD,2021,5,4933,0.9922938
AMD,2021,5,-226813,-29.550295
AMD,2021,4,-16000,-6.3399982
AMD,2021,4,-132298,-35.522537
AMD,2021,3,-17186,-3.2780569
AMD,2021,3,-270730,-34.806343
AMD,2021,2,15947,3.4480374
AMD,2021,2,-226244,-32.105648
AMD,2021,1,-16000,-10.884354
AMD,2021,1,-81500,-38.35294
AMD,2020,12,0,0.0
AMD,2020,12,-796866,-66.77163
AMD,2020,11,-49537,-11.3737755
AMD,2020,11,-325037,-41.35136
AMD,2020,10,0,0.0
AMD,2020,10,-118000,-42.293907
AMD,2020,9,-51845,-10.109292
AMD,2020,9,-282345,-37.983036
AMD,2020,8,610382,29.936125
AMD,2020,8,335454,9.404162
AMD,2020,7,-112500,-41.133453
AMD,2020,7,-193000,-54.519775
AMD,2020,6,0,0.0
AMD,2020,6,-349312,-37.045143
AMD,2020,5,6661,2.1721053
AMD,2020,5,-357047,-38.069378
AMD,2020,4,-118000,-42.293907
AMD,2020,3,-75000,-50.0
AMD,2020,2,35562,17.772291
AMD,2020,1,-75000,-50.0
AMD,2019,12,-61000,-21.998947
AMD,2019,12,-171107,-43.1038
AMD,2019,11,-74165,-16.152779
AMD,2019,11,-295406,-43.417286
AMD,2019,10,-153240,-57.99405
AMD,2019,10,-208737,-65.285194
AMD,2019,9,-244933,-47.461105
AMD,2019,8,827664,9.879568
AMD,2019,7,-207735,-36.24096
AMD,2019,5,-1000,-100.0
